route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,route_long_name,route_desc,route_type,route_url
1814,HSL,814,M-bus,230,1.5,Vuosaari(M)-Koukkusaarentie-Pohjoinen ostoskeskus,,704,http://aikataulut.hsl.fi/linjat/fi/b814.html
1815,HSL,815,M-bus,230,1.5,Vuosaari(M)-Isonvillasaarentie,,704,http://aikataulut.hsl.fi/linjat/fi/b815.html
1816,HSL,816,M-bus,230,1.5,Vuosaari(M)-Kallahti-Kallahdenniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b816.html
1817,HSL,817,M-bus,230,1.5,Vuosaari(M)-Kallahti-Ramsinniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b817.html
1818,HSL,818,M-bus,230,1.5,Vuosaari (M)-Vuosaaren satama-Mellunmäki (M),,701,http://aikataulut.hsl.fi/linjat/fi/b818.html
1831,HSL,831,A-bus,0,11,Itäkeskus(M)-Östersundom-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b831.html
1831K,HSL,831K,A-bus,0,11,Itäkeskus(M)-Östersundom-Karhusaari-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b831K.html
1839,HSL,839,M-bus,230,1.5,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b839.html
1839K,HSL,839K,M-bus,230,1.5,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b839K.html
2015,HSL,15,tram,0,25,Itäkeskus (M)-Keilaniemi (M),,900,http://aikataulut.hsl.fi/linjat/fi/e15.html
2105,HSL,105,A-bus,1100,11,Lauttasaari(M)-Westend-Haukilahti-Mankkaa,,701,http://aikataulut.hsl.fi/linjat/fi/b105.html
2108N,HSL,108N,A-bus,1100,11,Kamppi-Teekkarikylä-Tapiola(M)-Westendinasema,,701,http://aikataulut.hsl.fi/linjat/fi/b108N.html
2111,HSL,111,A-bus,1100,11,Otaniemi-Tapiola (M)-Westend-Matinkylä (M),,701,http://aikataulut.hsl.fi/linjat/fi/b111.html
2112N,HSL,112N,C-bus,1300,14,Kamppi-Lauttasaari (M)-Westend-Matinkylä(M)-Friisilä,,701,http://aikataulut.hsl.fi/linjat/fi/b112N.html
2113,HSL,113,A-bus,1100,11,Tapiola (M)-Laajalahti-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113.html
2113N,HSL,113N,A-bus,1100,11,Kamppi-Tapiola (M)-Laajalahti-Perkkaa-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113N.html
2114,HSL,114,A-bus,1100,11,Matinkylä (M)-Urheilupuisto (M)-Mankkaa-Kilo-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114.html
2114N,HSL,114N,A-bus,1100,11,Kamppi-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114N.html
2116,HSL,116,M-bus,230,1.5,Tapiola-Pohjois-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b116.html
2117,HSL,117,M-bus,230,1.5,Tapiola-Aarnivalkea-Itäranta-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b117.html
2118,HSL,118,A-bus,1100,11,Tapiola (M)-Urheilupuisto (M)-Suurpelto-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b118.html
2118N,HSL,118N,A-bus,1100,11,Kamppi-Tapiola (M)-Suurpelto-Kauniainen-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b118N.html
2119,HSL,119,M-bus,230,1.5,Tapiola-Niittykumpu,,704,http://aikataulut.hsl.fi/linjat/fi/b119.html
2121,HSL,121,A-bus,1100,11,Kamppi-Olari,,701,http://aikataulut.hsl.fi/linjat/fi/b121.html
2121A,HSL,121A,A-bus,1100,11,Kamppi-Olari-Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b121A.html
2124,HSL,124,A-bus,1100,11,Tapiola (M)-Niittykumpu (M)-Olari-Espoonlahti (M),,701,http://aikataulut.hsl.fi/linjat/fi/b124.html
